Timestamp (UTC),Transaction Description,Currency,Amount,To Currency,To Amount,Native Currency,Native Amount,Native Amount (in USD),Transaction Kind
2021-12-04 16:59:15,Mission Rewards Deposit,CRO,1.9,,,EUR,0.96,1.09384368,rewards_platform_deposit_credited
2021-12-04 14:33:02,Buy ATOM,ATOM,5.0,,,EUR,115.77,131.910711285,crypto_purchase
2021-12-04 14:26:33,Buy ETH,ETH,0.03,,,EUR,107.08,122.00914714,crypto_purchase
2021-12-04 14:23:43,Buy BAT,BAT,60.0,,,EUR,57.98,66.06360059,crypto_purchase
2021-12-04 14:18:31,Buy YGG,YGG,20.0,,,EUR,109.59,124.869092595,crypto_purchase
2021-12-04 14:15:34,Buy LTC,LTC,0.8,,,EUR,111.52,127.06817416,crypto_purchase
2021-12-04 14:12:55,Buy EGLD,EGLD,0.4,,,EUR,105.91,120.676025155,crypto_purchase
2021-12-04 14:10:27,Buy ALICE,ALICE,8.0,,,EUR,104.66,119.25174953,crypto_purchase
2021-12-02 17:44:51,Card Cashback,CRO,1.12086975,,,EUR,0.69,0.786200145,referral_card_cashback
2021-12-02 17:44:34,Card Cashback,CRO,1.12116135,,,EUR,0.69,0.786200145,referral_card_cashback
2021-11-30 16:25:13,Card Cashback,CRO,0.43310142,,,EUR,0.27,0.307643535,referral_card_cashback
2021-11-30 11:54:47,Buy EGLD,EGLD,0.2,,,EUR,69.7,79.41760885,crypto_purchase
2021-11-30 11:51:24,Buy WTC,WTC,100.0,,,EUR,87.64,99.85881262,crypto_purchase
2021-11-30 11:34:35,Buy CHZ,CHZ,250.0,,,EUR,100.84,114.89916322,crypto_purchase
2021-11-29 06:48:58,Card Cashback,CRO,3.42728549,,,EUR,2.33,2.654849765,referral_card_cashback
2021-11-27 14:07:43,Card Cashback,CRO,4.54360011,,,EUR,3.2,3.6461456,referral_card_cashback
2021-11-26 21:26:22,Mission Rewards Deposit,CRO,1.8,,,EUR,1.11,1.264756755,rewards_platform_deposit_credited
2021-11-26 21:22:45,Buy EGLD,EGLD,0.2,,,EUR,73.17,83.371397985,crypto_purchase
2021-11-26 21:18:17,Buy SOL,SOL,0.663,,,EUR,118.21,134.690897305,crypto_purchase
2021-11-26 21:14:57,Buy XLM,XLM,100.0,,,EUR,30.19,34.399104895,crypto_purchase
2021-11-26 19:54:27,Supercharger Deposit (via app),CRO,-100.0,,,EUR,-60.49,-68.923546045,supercharger_deposit
2021-11-26 14:06:17,Buy BTC,BTC,0.0025,,,EUR,122.1,139.12324305,crypto_purchase
2021-11-26 06:19:03,Buy QI,QI,500.0,,,EUR,110.62,126.04269571,crypto_purchase
2021-11-25 05:01:39,Buy VET,VET,1000.0,,,EUR,112.61,128.310142505,crypto_purchase
2021-11-24 21:14:52,Buy CSPR,CSPR,1000.0,,,EUR,152.69,173.978116145,crypto_purchase
2021-11-24 07:41:39,Mission Rewards Deposit,CRO,2.5,,,EUR,1.94,2.21047577,rewards_platform_deposit_credited
2021-11-23 17:33:58,USDC -> CRO,USDC,-96.270779,CRO,115.0,EUR,84.89,96.725406245,crypto_exchange
2021-11-19 19:15:08,USDC -> SAND,USDC,-35.202858,SAND,8.0,EUR,30.96,35.27645868,crypto_exchange
2021-11-19 19:08:14,USDC -> SOL,USDC,-29.995626,SOL,0.137,EUR,26.39,30.069306995,crypto_exchange
2021-11-19 19:05:50,USDC -> ENJ,USDC,-30.211477,ENJ,8.08,EUR,26.58,30.28579689,crypto_exchange
2021-11-19 19:00:40,Buy USDC,USDC,194.0,,,EUR,173.08,197.21090014,crypto_purchase
2021-11-19 15:42:03,Buy FTM,FTM,10.0,,,EUR,19.6,22.3326418,crypto_purchase
2021-11-19 15:33:49,Buy HOT,HOT,1000.0,,,EUR,11.43,13.023576315,crypto_purchase
2021-11-19 13:01:39,Buy MANA,MANA,7.0,,,EUR,24.91,28.382964655,crypto_purchase
2021-11-19 12:34:52,Buy AVAX,AVAX,0.204,,,EUR,19.97,22.754227385,crypto_purchase
2021-11-19 12:31:13,Buy WAXP,WAXP,40.0,,,EUR,32.94,37.53251127,crypto_purchase
2021-11-19 12:28:55,Buy UNI,UNI,1.067,,,EUR,19.99,22.777015795,crypto_purchase
2021-11-19 12:26:09,Buy SAND,SAND,5.0,,,EUR,19.36,22.05918088,crypto_purchase
2021-11-19 12:24:14,Buy THETA,THETA,4.0,,,EUR,22.34,25.45465397,crypto_purchase
2021-11-19 12:21:19,Buy SHIB,SHIB,500000.0,,,EUR,20.29,23.118841945,crypto_purchase
2021-11-19 12:15:14,Buy GALA,GALA,100.0,,,EUR,21.04,23.97340732,crypto_purchase
2021-11-19 12:11:33,Buy DOGE,DOGE,100.0,,,EUR,20.36,23.19860138,crypto_purchase
2021-11-19 12:09:45,Buy CHZ,CHZ,50.0,,,EUR,20.2,23.0162941,crypto_purchase
2021-11-19 12:06:38,Buy ADA,ADA,12.0,,,EUR,19.64,22.37821862,crypto_purchase
2021-11-16 13:37:20,CRO -> SAND,CRO,-12.4433916,SAND,2.0,EUR,4.42,5.03623861,crypto_exchange
2021-11-16 13:19:00,CRO -> MANA,CRO,-7.210534,MANA,1.0,EUR,2.54,2.89412807,crypto_exchange
2021-11-16 12:21:32,CRO -> AVAX,CRO,-10.8849911,AVAX,0.05,EUR,3.88,4.42095154,crypto_exchange
2021-11-16 11:52:04,CRO -> ADA,CRO,-4.71045,ADA,1.0,EUR,1.65,1.880043825,crypto_exchange
2021-11-15 21:56:47,CRO -> ETH,CRO,-10.53946721,ETH,0.001,EUR,3.99,4.546287795,crypto_exchange
2021-11-15 13:39:02,Sign-up Bonus Unlocked,CRO,53.49295546,,,EUR,21.77,24.805184285,referral_gift
2021-11-15 13:38:04,CRO Stake,CRO,-877.0,,,EUR,-349.83,-398.603473515,lockup_lock
2021-11-15 13:38:04,Buy CRO,CRO,877.0,,,EUR,349.99,398.785780795,crypto_purchase
